Generate posit configurations
"Generate Posit Lookup table for a POSIT<2,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
244,11110100,10001100,-3,1,-20,0001---,100,--,-9.5367431640625e-07,8.3xF4p
245,11110101,10001011,-3,1,-21,0001---,011,--,-4.76837158203125e-07,8.3xF5p
246,11110110,10001010,-3,1,-22,0001---,010,--,-2.384185791015625e-07,8.3xF6p
247,11110111,10001001,-3,1,-23,0001---,001,--,-1.1920928955078125e-07,8.3xF7p
248,11111000,10001000,-3,1,-24,0001---,000,--,-5.9604644775390625e-08,8.3xF8p
249,11111001,10000111,-4,1,-26,00001--,11-,--,-1.490116119384765625e-08,8.3xF9p
250,11111010,10000110,-4,1,-28,00001--,10-,--,-3.7252902984619140625e-09,8.3xFAp
251,11111011,10000101,-4,1,-30,00001--,01-,--,-9.31322574615478515625e-10,8.3xFBp
252,11111100,10000100,-4,1,-32,00001--,00-,--,-2.328306436538696289063e-10,8.3xFCp
253,11111101,10000011,-5,1,-36,000001-,1--,--,-1.455191522836685180664e-11,8.3xFDp
254,11111110,10000010,-5,1,-40,000001-,0--,--,-9.09494701772928237915e-13,8.3xFEp
255,11111111,10000001,-6,1,-48,0000001,---,--,-3.552713678800500929356e-15,8.3xFFp

"Generate Posit Lookup table for a POSIT<8,4> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,00000000,00000000,-7,0,-96,0000000,----,-,0,8.4x00p
1,00000001,00000001,-6,0,-96,0000001,----,-,1.262177448353618888659e-29,8.4x01p
2,00000010,00000010,-5,0,-80,000001-,0---,-,8.271806125530276748714e-25,8.4x02p
3,00000011,00000011,-5,0,-72,000001-,1---,-,2.117582368135750847671e-22,8.4x03p
4,00000100,00000100,-4,0,-64,00001--,00--,-,5.421010862427522170037e-20,8.4x04p
5,00000101,00000101,-4,0,-60,00001--,01--,-,8.67361737988403547206e-19,8.4x05p
6,00000110,00000110,-4,0,-56,00001--,10--,-,1.38777878078144567553e-17,8.4x06p
7,00000111,00000111,-4,0,-52,00001--,11--,-,2.220446049250313080847e-16,8.4x07p
8,00001000,00001000,-3,0,-48,0001---,000-,-,3.552713678800500929356e-15,8.4x08p
9,00001001,00001001,-3,0,-46,0001---,001-,-,1.421085471520200371742e-14,8.4x09p
10,00001010,00001010,-3,0,-44,0001---,010-,-,5.684341886080801486969e-14,8.4x0Ap
11,00001011,00001011,-3,0,-42,0001---,011-,-,2.273736754432320594788e-13,8.4x0Bp
12,00001100,00001100,-3,0,-40,0001---,100-,-,9.09494701772928237915e-13,8.4x0Cp
13,00001101,00001101,-3,0,-38,0001---,101-,-,3.63797880709171295166e-12,8.4x0Dp
14,00001110,00001110,-3,0,-36,0001---,110-,-,1.455191522836685180664e-11,8.4x0Ep
15,00001111,00001111,-3,0,-34,0001---,111-,-,5.820766091346740722656e-11,8.4x0Fp
16,00010000,00010000,-2,0,-32,001----,0000,-,2.328306436538696289063e-10,8.4x10p
17,00010001,00010001,-2,0,-31,001----,0001,-,4.656612873077392578125e-10,8.4x11p
18,00010010,00010010,-2,0,-30,001----,0010,-,9.31322574615478515625e-10,8.4x12p
19,00010011,00010011,-2,0,-29,001----,0011,-,1.86264514923095703125e-09,8.4x13p
20,00010100,00010100,-2,0,-28,001----,0100,-,3.7252902984619140625e-09,8.4x14p
21,00010101,00010101,-2,0,-27,001----,0101,-,7.450580596923828125e-09,8.4x15p
22,00010110,00010110,-2,0,-26,001----,0110,-,1.490116119384765625e-08,8.4x16p
23,00010111,00010111,-2,0,-25,001----,0111,-,2.98023223876953125e-08,8.4x17p
24,00011000,00011000,-2,0,-24,001----,1000,-,5.9604644775390625e-08,8.4x18p
25,00011001,00011001,-2,0,-23,001----,1001,-,1.1920928955078125e-07,8.4x19p
26,00011010,00011010,-2,0,-22,001----,1010,-,2.384185791015625e-07,8.4x1Ap
27,00011011,00011011,-2,0,-21,001----,1011,-,4.76837158203125e-07,8.4x1Bp
28,00011100,00011100,-2,0,-20,001----,1100,-,9.5367431640625e-07,8.4x1Cp
29,00011101,00011101,-2,0,-19,001----,1101,-,1.9073486328125e-06,8.4x1Dp
30,00011110,00011110,-2,0,-18,001----,1110,-,3.814697265625e-06,8.4x1Ep
31,00011111,00011111,-2,0,-17,001----,1111,-,7.62939453125e-06,8.4x1Fp
32,00100000,00100000,-1,0,-16,01-----,0000,0,1.52587890625e-05,8.4x20p
33,00100001,00100001,-1,0,-16,01-----,0000,1,2.288818359375e-05,8.4x21p
34,00100010,00100010,-1,0,-15,01-----,0001,0,3.0517578125e-05,8.4x22p
35,00100011,00100011,-1,0,-15,01-----,0001,1,4.57763671875e-05,8.4x23p
36,00100100,00100100,-1,0,-14,01-----,0010,0,6.103515625e-05,8.4x24p
37,00100101,00100101,-1,0,-14,01-----,0010,1,9.1552734375e-05,8.4x25p
38,00100110,00100110,-1,0,-13,01-----,0011,0,0.0001220703125,8.4x26p
39,00100111,00100111,-1,0,-13,01-----,0011,1,0.00018310546875,8.4x27p
40,00101000,00101000,-1,0,-12,01-----,0100,0,0.000244140625,8.4x28p
41,00101001,00101001,-1,0,-12,01-----,0100,1,0.0003662109375,8.4x29p
42,00101010,00101010,-1,0,-11,01-----,0101,0,0.00048828125,8.4x2Ap
43,00101011,00101011,-1,0,-11,01-----,0101,1,0.000732421875,8.4x2Bp
44,00101100,00101100,-1,0,-10,01-----,0110,0,0.0009765625,8.4x2Cp
45,00101101,00101101,-1,0,-10,01-----,0110,1,0.00146484375,8.4x2Dp
46,00101110,00101110,-1,0,-9,01-----,0111,0,0.001953125,8.4x2Ep
47,00101111,00101111,-1,0,-9,01-----,0111,1,0.0029296875,8.4x2Fp
48,00110000,00110000,-1,0,-8,01-----,1000,0,0.00390625,8.4x30p
49,00110001,00110001,-1,0,-8,01-----,1000,1,0.005859375,8.4x31p
50,00110010,00110010,-1,0,-7,01-----,1001,0,0.0078125,8.4x32p
51,00110011,00110011,-1,0,-7,01-----,1001,1,0.01171875,8.4x33p
52,00110100,00110100,-1,0,-6,01-----,1010,0,0.015625,8.4x34p
53,00110101,00110101,-1,0,-6,01-----,1010,1,0.0234375,8.4x35p
54,00110110,00110110,-1,0,-5,01-----,1011,0,0.03125,8.4x36p
55,00110111,00110111,-1,0,-5,01-----,1011,1,0.046875,8.4x37p
56,00111000,00111000,-1,0,-4,01-----,1100,0,0.0625,8.4x38p
57,00111001,00111001,-1,0,-4,01-----,1100,1,0.09375,8.4x39p
58,00111010,00111010,-1,0,-3,01-----,1101,0,0.125,8.4x3Ap
59,00111011,00111011,-1,0,-3,01-----,1101,1,0.1875,8.4x3Bp
60,00111100,00111100,-1,0,-2,01-----,1110,0,0.25,8.4x3Cp
61,00111101,00111101,-1,0,-2,01-----,1110,1,0.375,8.4x3Dp
62,00111110,00111110,-1,0,-1,01-----,1111,0,0.5,8.4x3Ep
63,00111111,00111111,-1,0,-1,01-----,1111,1,0.75,8.4x3Fp
64,01000000,01000000,0,0,0,10-----,0000,0,1,8.4x40p
65,01000001,01000001,0,0,0,10-----,0000,1,1.5,8.4x41p
66,01000010,01000010,0,0,1,10-----,0001,0,2,8.4x42p
67,01000011,01000011,0,0,1,10-----,0001,1,3,8.4x43p
68,01000100,01000100,0,0,2,10-----,0010,0,4,8.4x44p
69,01000101,01000101,0,0,2,10-----,0010,1,6,8.4x45p
70,01000110,01000110,0,0,3,10-----,0011,0,8,8.4x46p
71,01000111,01000111,0,0,3,10-----,0011,1,12,8.4x47p
72,01001000,01001000,0,0,4,10-----,0100,0,16,8.4x48p
73,01001001,01001001,0,0,4,10-----,0100,1,24,8.4x49p
74,01001010,01001010,0,0,5,10-----,0101,0,32,8.4x4Ap
75,01001011,01001011,0,0,5,10-----,0101,1,48,8.4x4Bp
76,01001100,01001100,0,0,6,10-----,0110,0,64,8.4x4Cp
77,01001101,01001101,0,0,6,10-----,0110,1,96,8.4x4Dp
78,01001110,01001110,0,0,7,10-----,0111,0,128,8.4x4Ep
79,01001111,01001111,0,0,7,10-----,0111,1,192,8.4x4Fp
80,01010000,01010000,0,0,8,10-----,1000,0,256,8.4x50p
81,01010001,01010001,0,0,8,10-----,1000,1,384,8.4x51p
82,01010010,01010010,0,0,9,10-----,1001,0,512,8.4x52p
83,01010011,01010011,0,0,9,10-----,1001,1,768,8.4x53p
84,01010100,01010100,0,0,10,10-----,1010,0,1024,8.4x54p
85,01010101,01010101,0,0,10,10-----,1010,1,1536,8.4x55p
86,01010110,01010110,0,0,11,10-----,1011,0,2048,8.4x56p
87,01010111,01010111,0,0,11,10-----,1011,1,3072,8.4x57p
88,01011000,01011000,0,0,12,10-----,1100,0,4096,8.4x58p
89,01011001,01011001,0,0,12,10-----,1100,1,6144,8.4x59p
90,01011010,01011010,0,0,13,10-----,1101,0,8192,8.4x5Ap
91,01011011,01011011,0,0,13,10-----,1101,1,12288,8.4x5Bp
92,01011100,01011100,0,0,14,10-----,1110,0,16384,8.4x5Cp
93,01011101,01011101,0,0,14,10-----,1110,1,24576,8.4x5Dp
94,01011110,01011110,0,0,15,10-----,1111,0,32768,8.4x5Ep
95,01011111,01011111,0,0,15,10-----,1111,1,49152,8.4x5Fp
96,01100000,01100000,1,0,16,110----,0000,-,65536,8.4x60p
97,01100001,01100001,1,0,17,110----,0001,-,131072,8.4x61p
98,01100010,01100010,1,0,18,110----,0010,-,262144,8.4x62p
99,01100011,01100011,1,0,19,110----,0011,-,524288,8.4x63p
100,01100100,01100100,1,0,20,110----,0100,-,1048576,8.4x64p
101,01100101,01100101,1,0,21,110----,0101,-,2097152,8.4x65p
102,01100110,01100110,1,0,22,110----,0110,-,4194304,8.4x66p
103,01100111,01100111,1,0,23,110----,0111,-,8388608,8.4x67p
104,01101000,01101000,1,0,24,110----,1000,-,16777216,8.4x68p
105,01101001,01101001,1,0,25,110----,1001,-,33554432,8.4x69p
106,01101010,01101010,1,0,26,110----,1010,-,67108864,8.4x6Ap
107,01101011,01101011,1,0,27,110----,1011,-,134217728,8.4x6Bp
108,01101100,01101100,1,0,28,110----,1100,-,268435456,8.4x6Cp
109,01101101,01101101,1,0,29,110----,1101,-,536870912,8.4x6Dp
110,01101110,01101110,1,0,30,110----,1110,-,1073741824,8.4x6Ep
111,01101111,01101111,1,0,31,110----,1111,-,2147483648,8.4x6Fp
112,01110000,01110000,2,0,32,1110---,000-,-,4294967296,8.4x70p
113,01110001,01110001,2,0,34,1110---,001-,-,17179869184,8.4x71p
114,01110010,01110010,2,0,36,1110---,010-,-,68719476736,8.4x72p
115,01110011,01110011,2,0,38,1110---,011-,-,274877906944,8.4x73p
116,01110100,01110100,2,0,40,1110---,100-,-,1099511627776,8.4x74p
117,01110101,01110101,2,0,42,1110---,101-,-,4398046511104,8.4x75p
118,01110110,01110110,2,0,44,1110---,110-,-,17592186044416,8.4x76p
119,01110111,01110111,2,0,46,1110---,111-,-,70368744177664,8.4x77p
120,01111000,01111000,3,0,48,11110--,00--,-,281474976710656,8.4x78p
121,01111001,01111001,3,0,52,11110--,01--,-,4503599627370496,8.4x79p
122,01111010,01111010,3,0,56,11110--,10--,-,72057594037927936,8.4x7Ap
123,01111011,01111011,3,0,60,11110--,11--,-,1152921504606846976,8.4x7Bp
124,01111100,01111100,4,0,64,111110-,0---,-,18446744073709551616,8.4x7Cp
125,01111101,01111101,4,0,72,111110-,1---,-,4722366482869645213696,8.4x7Dp
126,01111110,01111110,5,0,80,1111110,----,-,1.208925819614629174706e+24,8.4x7Ep
127,01111111,01111111,6,0,96,1111111,----,-,7.922816251426433759354e+28,8.4x7Fp
128,10000000,10000000,7,1,-96,0000000,----,-,nar,8.4x80p
129,10000001,11111111,6,1,96,1111111,----,-,-7.922816251426433759354e+28,8.4x81p
130,10000010,11111110,5,1,80,1111110,----,-,-1.208925819614629174706e+24,8.4x82p
131,10000011,11111101,4,1,72,111110-,1---,-,-4722366482869645213696,8.4x83p
132,10000100,11111100,4,1,64,111110-,0---,-,-18446744073709551616,8.4x84p
133,10000101,11111011,3,1,60,11110--,11--,-,-1152921504606846976,8.4x85p
134,10000110,11111010,3,1,56,11110--,10--,-,-72057594037927936,8.4x86p
135,10000111,11111001,3,1,52,11110--,01--,-,-4503599627370496,8.4x87p
136,10001000,11111000,3,1,48,11110--,00--,-,-281474976710656,8.4x88p
137,10001001,11110111,2,1,46,1110---,111-,-,-70368744177664,8.4x89p
138,10001010,11110110,2,1,44,1110---,110-,-,-17592186044416,8.4x8Ap
139,10001011,11110101,2,1,42,1110---,101-,-,-4398046511104,8.4x8Bp
140,10001100,11110100,2,1,40,1110---,100-,-,-1099511627776,8.4x8Cp
141,10001101,11110011,2,1,38,1110---,011-,-,-274877906944,8.4x8Dp
142,10001110,11110010,2,1,36,1110---,010-,-,-68719476736,8.4x8Ep
143,10001111,11110001,2,1,34,1110---,001-,-,-17179869184,8.4x8Fp
144,10010000,11110000,2,1,32,1110---,000-,-,-4294967296,8.4x90p
145,10010001,11101111,1,1,31,110----,1111,-,-2147483648,8.4x91p
146,10010010,11101110,1,1,30,110----,1110,-,-1073741824,8.4x92p
147,10010011,11101101,1,1,29,110----,1101,-,-536870912,8.4x93p
148,10010100,11101100,1,1,28,110----,1100,-,-268435456,8.4x94p
149,10010101,11101011,1,1,27,110----,1011,-,-134217728,8.4x95p
150,10010110,11101010,1,1,26,110----,1010,-,-67108864,8.4x96p
151,10010111,11101001,1,1,25,110----,1001,-,-33554432,8.4x97p
152,10011000,11101000,1,1,24,110----,1000,-,-16777216,8.4x98p
153,10011001,11100111,1,1,23,110----,0111,-,-8388608,8.4x99p
154,10011010,11100110,1,1,22,110----,0110,-,-4194304,8.4x9Ap
155,10011011,11100101,1,1,21,110----,0101,-,-2097152,8.4x9Bp
156,10011100,11100100,1,1,20,110----,0100,-,-1048576,8.4x9Cp
157,10011101,11100011,1,1,19,110----,0011,-,-524288,8.4x9Dp
158,10011110,11100010,1,1,18,110----,0010,-,-262144,8.4x9Ep
159,10011111,11100001,1,1,17,110----,0001,-,-131072,8.4x9Fp
160,10100000,11100000,1,1,16,110----,0000,-,-65536,8.4xA0p
161,10100001,11011111,0,1,15,10-----,1111,1,-49152,8.4xA1p
162,10100010,11011110,0,1,15,10-----,1111,0,-32768,8.4xA2p
163,10100011,11011101,0,1,14,10-----,1110,1,-24576,8.4xA3p
164,10100100,11011100,0,1,14,10-----,1110,0,-16384,8.4xA4p
165,10100101,11011011,0,1,13,10-----,1101,1,-12288,8.4xA5p
166,10100110,11011010,0,1,13,10-----,1101,0,-8192,8.4xA6p
167,10100111,11011001,0,1,12,10-----,1100,1,-6144,8.4xA7p
168,10101000,11011000,0,1,12,10-----,1100,0,-4096,8.4xA8p
169,10101001,11010111,0,1,11,10-----,1011,1,-3072,8.4xA9p
170,10101010,11010110,0,1,11,10-----,1011,0,-2048,8.4xAAp
171,10101011,11010101,0,1,10,10-----,1010,1,-1536,8.4xABp
172,10101100,11010100,0,1,10,10-----,1010,0,-1024,8.4xACp
173,10101101,11010011,0,1,9,10-----,1001,1,-768,8.4xADp
174,10101110,11010010,0,1,9,10-----,1001,0,-512,8.4xAEp
175,10101111,11010001,0,1,8,10-----,1000,1,-384,8.4xAFp
176,10110000,11010000,0,1,8,10-----,1000,0,-256,8.4xB0p
177,10110001,11001111,0,1,7,10-----,0111,1,-192,8.4xB1p
178,10110010,11001110,0,1,7,10-----,0111,0,-128,8.4xB2p
179,10110011,11001101,0,1,6,10-----,0110,1,-96,8.4xB3p
180,10110100,11001100,0,1,6,10-----,0110,0,-64,8.4xB4p
181,10110101,11001011,0,1,5,10-----,0101,1,-48,8.4xB5p
182,10110110,11001010,0,1,5,10-----,0101,0,-32,8.4xB6p
183,10110111,11001001,0,1,4,10-----,0100,1,-24,8.4xB7p
184,10111000,11001000,0,1,4,10-----,0100,0,-16,8.4xB8p
185,10111001,11000111,0,1,3,10-----,0011,1,-12,8.4xB9p
186,10111010,11000110,0,1,3,10-----,0011,0,-8,8.4xBAp
187,10111011,11000101,0,1,2,10-----,0010,1,-6,8.4xBBp
188,10111100,11000100,0,1,2,10-----,0010,0,-4,8.4xBCp
189,10111101,11000011,0,1,1,10-----,0001,1,-3,8.4xBDp
190,10111110,11000010,0,1,1,10-----,0001,0,-2,8.4xBEp
191,10111111,11000001,0,1,0,10-----,0000,1,-1.5,8.4xBFp
192,11000000,11000000,0,1,0,10-----,0000,0,-1,8.4xC0p
193,11000001,10111111,-1,1,-1,01-----,1111,1,-0.75,8.4xC1p
194,11000010,10111110,-1,1,-1,01-----,1111,0,-0.5,8.4xC2p
195,11000011,10111101,-1,1,-2,01-----,1110,1,-0.375,8.4xC3p
196,11000100,10111100,-1,1,-2,01-----,1110,0,-0.25,8.4xC4p
197,11000101,10111011,-1,1,-3,01-----,1101,1,-0.1875,8.4xC5p
198,11000110,10111010,-1,1,-3,01-----,1101,0,-0.125,8.4xC6p
199,11000111,10111001,-1,1,-4,01-----,1100,1,-0.09375,8.4xC7p
200,11001000,10111000,-1,1,-4,01-----,1100,0,-0.0625,8.4xC8p
201,11001001,10110111,-1,1,-5,01-----,1011,1,-0.046875,8.4xC9p
202,11001010,10110110,-1,1,-5,01-----,1011,0,-0.03125,8.4xCAp
203,11001011,10110101,-1,1,-6,01-----,1010,1,-0.0234375,8.4xCBp
204,11001100,10110100,-1,1,-6,01-----,1010,0,-0.015625,8.4xCCp
205,11001101,10110011,-1,1,-7,01-----,1001,1,-0.01171875,8.4xCDp
206,11001110,10110010,-1,1,-7,01-----,1001,0,-0.0078125,8.4xCEp
207,11001111,10110001,-1,1,-8,01-----,1000,1,-0.005859375,8.4xCFp
208,11010000,10110000,-1,1,-8,01-----,1000,0,-0.00390625,8.4xD0p
209,11010001,10101111,-1,1,-9,01-----,0111,1,-0.0029296875,8.4xD1p
210,11010010,10101110,-1,1,-9,01-----,0111,0,-0.001953125,8.4xD2p
211,11010011,10101101,-1,1,-10,01-----,0110,1,-0.00146484375,8.4xD3p
212,11010100,10101100,-1,1,-10,01-----,0110,0,-0.0009765625,8.4xD4p
213,11010101,10101011,-1,1,-11,01-----,0101,1,-0.000732421875,8.4xD5p
214,11010110,10101010,-1,1,-11,01-----,0101,0,-0.00048828125,8.4xD6p
215,11010111,10101001,-1,1,-12,01-----,0100,1,-0.0003662109375,8.4xD7p
216,11011000,10101000,-1,1,-12,01-----,0100,0,-0.000244140625,8.4xD8p
217,11011001,10100111,-1,1,-13,01-----,0011,1,-0.00018310546875,8.4xD9p
218,11011010,10100110,-1,1,-13,01-----,0011,0,-0.0001220703125,8.4xDAp
219,11011011,10100101,-1,1,-14,01-----,0010,1,-9.1552734375e-05,8.4xDBp
220,11011100,10100100,-1,1,-14,01-----,0010,0,-6.103515625e-05,8.4xDCp
221,11011101,10100011,-1,1,-15,01-----,0001,1,-4.57763671875e-05,8.4xDDp
222,11011110,10100010,-1,1,-15,01-----,0001,0,-3.0517578125e-05,8.4xDEp
223,11011111,10100001,-1,1,-16,01-----,0000,1,-2.288818359375e-05,8.4xDFp
224,11100000,10100000,-1,1,-16,01-----,0000,0,-1.52587890625e-05,8.4xE0p
225,11100001,10011111,-2,1,-17,001----,1111,-,-7.62939453125e-06,8.4xE1p
226,11100010,10011110,-2,1,-18,001----,1110,-,-3.814697265625e-06,8.4xE2p
227,11100011,10011101,-2,1,-19,001----,1101,-,-1.9073486328125e-06,8.4xE3p
228,11100100,10011100,-2,1,-20,001----,1100,-,-9.5367431640625e-07,8.4xE4p
229,11100101,10011011,-2,1,-21,001----,1011,-,-4.76837158203125e-07,8.4xE5p
230,11100110,10011010,-2,1,-22,001----,1010,-,-2.384185791015625e-07,8.4xE6p
231,11100111,10011001,-2,1,-23,001----,1001,-,-1.1920928955078125e-07,8.4xE7p
232,11101000,10011000,-2,1,-24,001----,1000,-,-5.9604644775390625e-08,8.4xE8p
233,11101001,10010111,-2,1,-25,001----,0111,-,-2.98023223876953125e-08,8.4xE9p
234,11101010,10010110,-2,1,-26,001----,0110,-,-1.490116119384765625e-08,8.4xEAp
235,11101011,10010101,-2,1,-27,001----,0101,-,-7.450580596923828125e-09,8.4xEBp
236,11101100,10010100,-2,1,-28,001----,0100,-,-3.7252902984619140625e-09,8.4xECp
237,11101101,10010011,-2,1,-29,001----,0011,-,-1.86264514923095703125e-09,8.4xEDp
238,11101110,10010010,-2,1,-30,001----,0010,-,-9.31322574615478515625e-10,8.4xEEp
239,11101111,10010001,-2,1,-31,001----,0001,-,-4.656612873077392578125e-10,8.4xEFp
240,11110000,10010000,-2,1,-32,001----,0000,-,-2.328306436538696289063e-10,8.4xF0p
241,11110001,10001111,-3,1,-34,0001---,111-,-,-5.820766091346740722656e-11,8.4xF1p
242,11110010,10001110,-3,1,-36,0001---,110-,-,-1.455191522836685180664e-11,8.4xF2p
243,11110011,10001101,-3,1,-38,0001---,101-,-,-3.63797880709171295166e-12,8.4xF3p
244,11110100,10001100,-3,1,-40,0001---,100-,-,-9.09494701772928237915e-13,8.4xF4p
245,11110101,10001011,-3,1,-42,0001---,011-,-,-2.273736754432320594788e-13,8.4xF5p
246,11110110,10001010,-3,1,-44,0001---,010-,-,-5.684341886080801486969e-14,8.4xF6p
247,11110111,10001001,-3,1,-46,0001---,001-,-,-1.421085471520200371742e-14,8.4xF7p
248,11111000,10001000,-3,1,-48,0001---,000-,-,-3.552713678800500929356e-15,8.4xF8p
249,11111001,10000111,-4,1,-52,00001--,11--,-,-2.220446049250313080847e-16,8.4xF9p
250,11111010,10000110,-4,1,-56,00001--,10--,-,-1.38777878078144567553e-17,8.4xFAp
251,11111011,10000101,-4,1,-60,00001--,01--,-,-8.67361737988403547206e-19,8.4xFBp
252,11111100,10000100,-4,1,-64,00001--,00--,-,-5.421010862427522170037e-20,8.4xFCp
253,11111101,10000011,-5,1,-72,000001-,1---,-,-2.117582368135750847671e-22,8.4xFDp
254,11111110,10000010,-5,1,-80,000001-,0---,-,-8.271806125530276748714e-25,8.4xFEp
255,11111111,10000001,-6,1,-96,0000001,----,-,-1.262177448353618888659e-29,8.4xFFp

"Generate Posit Lookup table for a POSIT<8,5> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,00000000,00000000,-7,0,-192,0000000,-----,~,0,8.5x00p
1,00000001,00000001,-6,0,-192,0000001,-----,~,1.593091911132452277029e-58,8.5x01p
2,00000010,00000010,-5,0,-160,000001-,0----,~,6.84227765783602085412e-49,8.5x02p
3,00000011,00000011,-5,0,-144,000001-,1----,~,4.484155085839414626956e-44,8.5x03p
4,00000100,00000100,-4,0,-128,00001--,00---,~,2.938735877055718769922e-39,8.5x04p
5,00000101,00000101,-4,0,-120,00001--,01---,~,7.523163845262640051e-37,8.5x05p
6,00000110,00000110,-4,0,-112,00001--,10---,~,1.925929944387235853056e-34,8.5x06p
7,00000111,00000111,-4,0,-104,00001--,11---,~,4.930380657631323783823e-32,8.5x07p
8,00001000,00001000,-3,0,-96,0001---,000--,~,1.262177448353618888659e-29,8.5x08p
9,00001001,00001001,-3,0,-92,0001---,001--,~,2.019483917365790221854e-28,8.5x09p
10,00001010,00001010,-3,0,-88,0001---,010--,~,3.231174267785264354966e-27,8.5x0Ap
11,00001011,00001011,-3,0,-84,0001---,011--,~,5.169878828456422967946e-26,8.5x0Bp
12,00001100,00001100,-3,0,-80,0001---,100--,~,8.271806125530276748714e-25,8.5x0Cp
13,00001101,00001101,-3,0,-76,0001---,101--,~,1.323488980084844279794e-23,8.5x0Dp
14,00001110,00001110,-3,0,-72,0001---,110--,~,2.117582368135750847671e-22,8.5x0Ep
15,00001111,00001111,-3,0,-68,0001---,111--,~,3.388131789017201356273e-21,8.5x0Fp
16,00010000,00010000,-2,0,-64,001----,0000-,~,5.421010862427522170037e-20,8.5x10p
17,00010001,00010001,-2,0,-62,001----,0001-,~,2.168404344971008868015e-19,8.5x11p
18,00010010,00010010,-2,0,-60,001----,0010-,~,8.67361737988403547206e-19,8.5x12p
19,00010011,00010011,-2,0,-58,001----,0011-,~,3.469446951953614188824e-18,8.5x13p
20,00010100,00010100,-2,0,-56,001----,0100-,~,1.38777878078144567553e-17,8.5x14p
21,00010101,00010101,-2,0,-54,001----,0101-,~,5.551115123125782702118e-17,8.5x15p
22,00010110,00010110,-2,0,-52,001----,0110-,~,2.220446049250313080847e-16,8.5x16p
23,00010111,00010111,-2,0,-50,001----,0111-,~,8.881784197001252323389e-16,8.5x17p
24,00011000,00011000,-2,0,-48,001----,1000-,~,3.552713678800500929356e-15,8.5x18p
25,00011001,00011001,-2,0,-46,001----,1001-,~,1.421085471520200371742e-14,8.5x19p
26,00011010,00011010,-2,0,-44,001----,1010-,~,5.684341886080801486969e-14,8.5x1Ap
27,00011011,00011011,-2,0,-42,001----,1011-,~,2.273736754432320594788e-13,8.5x1Bp
28,00011100,00011100,-2,0,-40,001----,1100-,~,9.09494701772928237915e-13,8.5x1Cp
29,00011101,00011101,-2,0,-38,001----,1101-,~,3.63797880709171295166e-12,8.5x1Dp
30,00011110,00011110,-2,0,-36,001----,1110-,~,1.455191522836685180664e-11,8.5x1Ep
31,00011111,00011111,-2,0,-34,001----,1111-,~,5.820766091346740722656e-11,8.5x1Fp
32,00100000,00100000,-1,0,-32,01-----,00000,~,2.328306436538696289063e-10,8.5x20p
33,00100001,00100001,-1,0,-31,01-----,00001,~,4.656612873077392578125e-10,8.5x21p
34,00100010,00100010,-1,0,-30,01-----,00010,~,9.31322574615478515625e-10,8.5x22p
35,00100011,00100011,-1,0,-29,01-----,00011,~,1.86264514923095703125e-09,8.5x23p
36,00100100,00100100,-1,0,-28,01-----,00100,~,3.7252902984619140625e-09,8.5x24p
37,00100101,00100101,-1,0,-27,01-----,00101,~,7.450580596923828125e-09,8.5x25p
38,00100110,00100110,-1,0,-26,01-----,00110,~,1.490116119384765625e-08,8.5x26p
39,00100111,00100111,-1,0,-25,01-----,00111,~,2.98023223876953125e-08,8.5x27p
40,00101000,00101000,-1,0,-24,01-----,01000,~,5.9604644775390625e-08,8.5x28p
41,00101001,00101001,-1,0,-23,01-----,01001,~,1.1920928955078125e-07,8.5x29p
42,00101010,00101010,-1,0,-22,01-----,01010,~,2.384185791015625e-07,8.5x2Ap
43,00101011,00101011,-1,0,-21,01-----,01011,~,4.76837158203125e-07,8.5x2Bp
44,00101100,00101100,-1,0,-20,01-----,01100,~,9.5367431640625e-07,8.5x2Cp
45,00101101,00101101,-1,0,-19,01-----,01101,~,1.9073486328125e-06,8.5x2Dp
46,00101110,00101110,-1,0,-18,01-----,01110,~,3.814697265625e-06,8.5x2Ep
47,00101111,00101111,-1,0,-17,01-----,01111,~,7.62939453125e-06,8.5x2Fp
48,00110000,00110000,-1,0,-16,01-----,10000,~,1.52587890625e-05,8.5x30p
49,00110001,00110001,-1,0,-15,01-----,10001,~,3.0517578125e-05,8.5x31p
50,00110010,00110010,-1,0,-14,01-----,10010,~,6.103515625e-05,8.5x32p
51,00110011,00110011,-1,0,-13,01-----,10011,~,0.0001220703125,8.5x33p
52,00110100,00110100,-1,0,-12,01-----,10100,~,0.000244140625,8.5x34p
53,00110101,00110101,-1,0,-11,01-----,10101,~,0.00048828125,8.5x35p
54,00110110,00110110,-1,0,-10,01-----,10110,~,0.0009765625,8.5x36p
55,00110111,00110111,-1,0,-9,01-----,10111,~,0.001953125,8.5x37p
56,00111000,00111000,-1,0,-8,01-----,11000,~,0.00390625,8.5x38p
57,00111001,00111001,-1,0,-7,01-----,11001,~,0.0078125,8.5x39p
58,00111010,00111010,-1,0,-6,01-----,11010,~,0.015625,8.5x3Ap
59,00111011,00111011,-1,0,-5,01-----,11011,~,0.03125,8.5x3Bp
60,00111100,00111100,-1,0,-4,01-----,11100,~,0.0625,8.5x3Cp
